,userid,lag_days,correlation,metric
1599,1200753565104091136,28,0.6689078875522543,walking_asymmetry_percentage_avg
1610,1201607725481926656,0,0.6124479056621832,walking_asymmetry_percentage_avg
1611,1201607725481926656,7,0.6307930566910358,walking_asymmetry_percentage_avg
1619,1202352956833734656,28,0.6575225642778589,walking_asymmetry_percentage_avg
1624,1202538688724086784,28,0.8096137290784498,walking_asymmetry_percentage_avg
1632,1203048243023327232,14,0.625178778720881,walking_asymmetry_percentage_avg
1637,1203363896473169920,14,0.6157767483156393,walking_asymmetry_percentage_avg
1644,1204157949995851776,28,0.6025435441497046,walking_asymmetry_percentage_avg
1660,1205699344464289792,0,0.6256646758335142,walking_asymmetry_percentage_avg
1684,1207005426345848832,28,0.6932565797714381,walking_asymmetry_percentage_avg
1689,1207326598656700416,28,0.6522820508779169,walking_asymmetry_percentage_avg
1694,1207337368916340736,28,0.7028151094888538,walking_asymmetry_percentage_avg
1699,1207428963799937024,28,0.6769567924584846,walking_asymmetry_percentage_avg
1705,1209491295756034048,0,0.6964665744557378,walking_asymmetry_percentage_avg
1706,1209491295756034048,7,0.7640297401981189,walking_asymmetry_percentage_avg
1707,1209491295756034048,14,0.6190914925853557,walking_asymmetry_percentage_avg
1710,1210502516032155648,0,0.6247147062975607,walking_asymmetry_percentage_avg
1724,1213552453597499392,28,0.6535207057273678,walking_asymmetry_percentage_avg
1728,1215320517226692608,21,0.6857097660703798,walking_asymmetry_percentage_avg
1729,1215320517226692608,28,0.8365777995720467,walking_asymmetry_percentage_avg
1730,1215604526359937024,0,0.6228154375859322,walking_asymmetry_percentage_avg
1731,1215604526359937024,7,0.7441076925523199,walking_asymmetry_percentage_avg
1732,1215604526359937024,14,0.8343841819302114,walking_asymmetry_percentage_avg
1733,1215604526359937024,21,0.8073222060528443,walking_asymmetry_percentage_avg
1734,1215604526359937024,28,0.7556308583630367,walking_asymmetry_percentage_avg
1752,1217553861704318976,14,0.8763082845013561,walking_asymmetry_percentage_avg
1759,1217567720510033920,28,0.8355752066273122,walking_asymmetry_percentage_avg
1762,1218500358268682240,14,0.6165985094523573,walking_asymmetry_percentage_avg
1775,1220630307675860992,0,0.6175902147199948,walking_asymmetry_percentage_avg
1784,1220647683502927872,28,0.8295805245104487,walking_asymmetry_percentage_avg
1787,1220912304240271360,14,0.7742006070731553,walking_asymmetry_percentage_avg
1788,1220912304240271360,21,0.7655572189611085,walking_asymmetry_percentage_avg
1789,1220912304240271360,28,0.6516594897932507,walking_asymmetry_percentage_avg
1796,1222271249739489280,7,0.7612650458566184,walking_asymmetry_percentage_avg
1797,1222271249739489280,14,0.854268736851648,walking_asymmetry_percentage_avg
1798,1222271249739489280,21,0.8993800951817607,walking_asymmetry_percentage_avg
1799,1222271249739489280,28,0.8089762852386964,walking_asymmetry_percentage_avg
1825,1225528304685686784,0,0.8700616168305794,walking_asymmetry_percentage_avg
1826,1225528304685686784,7,0.6665523341459396,walking_asymmetry_percentage_avg
1837,1226471208156209152,14,0.8553035182221077,walking_asymmetry_percentage_avg
1838,1226471208156209152,21,0.9298888047144339,walking_asymmetry_percentage_avg
1855,1226833626226368512,0,0.8385883773083548,walking_asymmetry_percentage_avg
1860,1226868397291741184,0,0.6350218319603855,walking_asymmetry_percentage_avg
1861,1226868397291741184,7,0.8706742302245711,walking_asymmetry_percentage_avg
1870,1227601813916950528,0,0.741627562567051,walking_asymmetry_percentage_avg
1871,1227601813916950528,7,0.6904438623361397,walking_asymmetry_percentage_avg
1878,1227677964261728256,21,0.7240709401882857,walking_asymmetry_percentage_avg
1882,1227678032487653376,14,0.7693118664685642,walking_asymmetry_percentage_avg
1883,1227678032487653376,21,0.8997223221377535,walking_asymmetry_percentage_avg
1894,1018555918008258560,28,0.6001339942409529,walking_asymmetry_percentage_max
1914,1200753565104091136,28,0.7011334008578097,walking_asymmetry_percentage_max
1934,1202352956833734656,28,0.6800447214931219,walking_asymmetry_percentage_max
1938,1202538688724086784,21,0.7863058290031332,walking_asymmetry_percentage_max
1939,1202538688724086784,28,0.8864613489619911,walking_asymmetry_percentage_max
1973,1205417639895572480,21,0.8764243308109898,walking_asymmetry_percentage_max
1999,1207005426345848832,28,0.7181593938312546,walking_asymmetry_percentage_max
2014,1207428963799937024,28,0.6460921990131612,walking_asymmetry_percentage_max
2020,1209491295756034048,0,0.7206380606358425,walking_asymmetry_percentage_max
2021,1209491295756034048,7,0.7934960494325876,walking_asymmetry_percentage_max
2022,1209491295756034048,14,0.6863395126436793,walking_asymmetry_percentage_max
2041,1215320517226692608,7,0.6071295568175265,walking_asymmetry_percentage_max
2044,1215320517226692608,28,0.734258441877165,walking_asymmetry_percentage_max
2047,1215604526359937024,14,0.6378966040494323,walking_asymmetry_percentage_max
2048,1215604526359937024,21,0.702016332538213,walking_asymmetry_percentage_max
2049,1215604526359937024,28,0.8027665895185714,walking_asymmetry_percentage_max
2067,1217553861704318976,14,0.8645608410773812,walking_asymmetry_percentage_max
2074,1217567720510033920,28,0.8079472410506044,walking_asymmetry_percentage_max
2090,1220630307675860992,0,0.7942473558205182,walking_asymmetry_percentage_max
2099,1220647683502927872,28,0.6297435304787737,walking_asymmetry_percentage_max
2102,1220912304240271360,14,0.8555300976370691,walking_asymmetry_percentage_max
2103,1220912304240271360,21,0.794331353783558,walking_asymmetry_percentage_max
2112,1222271249739489280,14,0.7340648992442098,walking_asymmetry_percentage_max
2113,1222271249739489280,21,0.8446269824471904,walking_asymmetry_percentage_max
2114,1222271249739489280,28,0.7210423246814002,walking_asymmetry_percentage_max
2130,1224898594392580096,0,0.8335154665872078,walking_asymmetry_percentage_max
2140,1225528304685686784,0,0.6586528233318609,walking_asymmetry_percentage_max
2149,1225766754649972736,28,0.7530300503878118,walking_asymmetry_percentage_max
2152,1226471208156209152,14,0.7986149544044717,walking_asymmetry_percentage_max
2153,1226471208156209152,21,0.9150457738242833,walking_asymmetry_percentage_max
2155,1226531330060525568,0,0.8560749719085261,walking_asymmetry_percentage_max
2156,1226531330060525568,7,0.8051581465010702,walking_asymmetry_percentage_max
2157,1226531330060525568,14,0.6277219544614863,walking_asymmetry_percentage_max
2170,1226833626226368512,0,0.9623561006464654,walking_asymmetry_percentage_max
2171,1226833626226368512,7,0.7973476548746398,walking_asymmetry_percentage_max
2191,1227677964261728256,7,0.7073267650904344,walking_asymmetry_percentage_max
2192,1227677964261728256,14,0.9147866511159432,walking_asymmetry_percentage_max
2193,1227677964261728256,21,0.9139602793995865,walking_asymmetry_percentage_max
2197,1227678032487653376,14,0.6457018586442601,walking_asymmetry_percentage_max
2198,1227678032487653376,21,0.9238357632824327,walking_asymmetry_percentage_max
2301,1206288961544138752,7,0.688227776041163,walking_speed_min
2308,1206552050020065280,21,0.7297922346304415,walking_speed_min
2309,1206552050020065280,28,0.8232443597866254,walking_speed_min
2314,1207005426345848832,28,0.6994439109378353,walking_speed_min
2340,1210502516032155648,0,0.6661311505546841,walking_speed_min
2341,1210502516032155648,7,0.7962153246113505,walking_speed_min
2342,1210502516032155648,14,0.6311345819866088,walking_speed_min
2369,1215866445171949568,28,0.7072640898476811,walking_speed_min
2374,1217113854211493888,28,0.7093229645189184,walking_speed_min
2390,1218500358268682240,0,0.6256549092070708,walking_speed_min
